Ref;Nombre;instalaciones;Dirección;Municipio;Código Municipio;Provincia;Código Provincia;Teléfono
0962;I.E.S. BERRIZ;Gimnasio#Frontón#Pista polideprotiva;PL. Elizondo 7A ;Berriz;019;Bizkaia;48;34946824962
0963;ZONA DE ESCALADA ARAOTZ;Zona de escalada;CTRA DE ARAOTZ (GI-3592) S/N ;Oñati;059;Gipuzkoa;20;34943780411
0964;FRONTÓN MUNICIPAL ARTZA;Frontón;NARDIZTAR BENANTZIO S/N ;Bermeo;017;Bizkaia;48;34946179180
0965;C.Pr. LA SALLE - SAN JOSÉ;Pista polideportiva cubierta#Sala psicomotricidad#Pista polideportiva cubierta con frontón#Frontón exterior#Pista baloncesto#Pista polideportiva 1#Pista polideportiva 2#Pista fútbol pequeña#Campo fútbol;C/ LA SALLE S/N ;Zarautz;079;Gipuzkoa;20;34943130060
0966;C.Pr. TXORIERRI S. COOP. LTDA.;Pista polideportiva;UNTZAGA IBAIA KALEA 1 ;Derio;901;Bizkaia;48;34944034060
0967;C.P. OROKIETA;Gimnasio#Pista polideportiva cubierta con frontón#Pista fútbol#Pista polideportiva#Pista baloncesto#Tenis de mesa;C/ ARABA 56 ;Zarautz;079;Gipuzkoa;20;34943833367
0968;PARQUE SALUDABLE;Parque saludable;GORBEA KALEA S/N ;Derio;901;Bizkaia;48;34944541019
0969;POLIDEPORTIVO MUNICIPAL;Sala polivalente#Gimnasio#Frontón#Pista polideportiva cubierta#Zona de spinning#Bulder#Tenis de mesa;Uztapide plaza 5 ;Zestoa;027;Gipuzkoa;20;34943147942
0970;FRONTÓN TXIKITO DE IRAETA;Frontón;Olaizola eta Uria kalea s/n ;Zestoa;027;Gipuzkoa;20;34943147010
0971;FRONTÓN ETXE-ALAI;Frontón#Pista de fútbol;Endoiabidea 17 ;Zestoa;027;Gipuzkoa;20;34943147942
0972;PISTA POLIDEPORTIVA;Pista polideportiva;Asuntzio kalea 9 ;Zestoa;027;Gipuzkoa;20;34943147010
0973;BOLERA DE AMETZAGA;Bolera;AMETZAGA S/N ;Asparrena;009;Araba/Álava;01;34945304006
0974;CASA JUVENTUD SAINDUA;Sala polivalente#Tenis de mesa;Jaizkibel etorbidea 19 ;Hondarribia;036;Gipuzkoa;20;34943643198
0975;URBANIZACIÓN LABREDER-TTARRATTENEA;Piscina;Ttarrattenea kalea s/n ;Hondarribia;036;Gipuzkoa;20;34943640004
0976;POLIDEPORTIVO IXERBEKOA;Pista de baloncesto#Gimnasio;C/ Ixerbekoa s/n ;Amorebieta-Etxano;003;Bizkaia;48;34946732714
0977;I.E.S. ZULOAGA;Gimnasio#Frontón#Pista fútbol;C/ JARDIÑETA 3 ;Eibar;030;Gipuzkoa;20;34943208349
0978;URBANIZACIÓN IZENEA;Piscina;Baserritar Etorbidea 74 ;Hondarribia;036;Gipuzkoa;20;34943453276
0979;POLIDEPORTIVO LAUAXETA;Pista polideportiva con frontón#Carrejo de arrastre#Gimnasio;ELEIZALDE AUZOA S/N ;Laukiz;053;Bizkaia;48;34946151051
0980;CAMPING FARO DE HIGER;Piscina#Piscina pequeña#Pista de tenis#Sala de billares y mesa de tenis.;Faro de Higer s/n ;Hondarribia;036;Gipuzkoa;20;34943641008
0981;POLIDEPORTIVO GANE;Vaso deportivo#Vaso chapoteo#Pista tenis 1#Pista tenis 2#Frontón;Bº Gane s/n ;Amorebieta-Etxano;003;Bizkaia;48;34946732714
0982;ESPACIO DE BALONCESTO DE LALASTRA;Canasta;C/ REAL S/N ;Valdegovía/Gaubea;055;Araba/Álava;01;34945353042
0983;ESPACIO DE BALONCESTO DE BACHICABO;Canasta;CALZADA KALEA S/N ;Valdegovía/Gaubea;055;Araba/Álava;01;34945353042
0984;GR 229 MIKELDI;Sendero;Bº Aldeagoiena s/n ;Mañaria;059;Bizkaia;48;34946818998
0985;GR 38 RUTA DEL VINO Y EL PESCADO;Sendero gran recorrido;C/ DE LA PIRULETA S/N ;Bernedo;016;Araba/Álava;01;34945378041
0986;PR-BI 72 BERRIZ NORTASUNA;Sendero;C/ Iturritza  s/n ;Berriz;019;Bizkaia;48;34946826244
0987;FRONTÓN TXIKI;Frontón;Santiago kalea 9 ;Azpeitia;018;Gipuzkoa;20;34943813069
0988;MINI-GOLF TXERLOIA;Mini-golf;Txerloia auzoa 1 ;Azkoitia;017;Gipuzkoa;20;34943857170
0989;CARRILES BICI HK1 Y HK2;Carril-bici;Trenbidearen Zumardia s/n ;Azkoitia;017;Gipuzkoa;20;34943857170
0990;FRONTÓN MUNICIPAL GUREA;Frontón y probadero;Aingeru kalea 34 ;Azkoitia;017;Gipuzkoa;20;34943857170
0991;FRONTÓN DE LA ERMITA DE MARTIRIETA;Frontón;Martirieta auzoa 53 ;Azkoitia;017;Gipuzkoa;20;34943857170
0992;ESPACIO DE BALONCESTO DE LANGARICA;Canasta;CTRA  A-4111 S/N ;Iruraiz-Gauna;027;Araba/Álava;01;34945300991
0993;PISTA DE MINIBASKET DE TXINTXETRU;Pista minibasket;TXINTXETRU S/N ;San Millán/Donemiliaga;053;Araba/Álava;01;34945300472
0994;ESPACIO DE BALONCESTO DE GAUNA;Canasta;GAUNA S/N ;Iruraiz-Gauna;027;Araba/Álava;01;34945300991
0995;BOLERA DE TROKONIZ;Bolera;TROKONIZ S/N ;Iruraiz-Gauna;027;Araba/Álava;01;34945300991
0996;INSTALACIONES DE URBANIZACIÓN SAN ANTONIO ABAITUA;Squash#Trinquete;C/ MENDILAUTA 15-17 ;Zarautz;079;Gipuzkoa;20;34943005100
0997;INSTALACIONES URBANIZACIÓN MUSKARIA;Vaso recreativo#Vaso chapoteo;AVDA. NAVARRA 9 ;Zarautz;079;Gipuzkoa;20;34943005100
0998;PISTA DE MINIBASKET;Pista de minibasket;URBINA S/N ;Legutio;058;Araba/Álava;01;34945455010
0999;PISTA FÚTBOL SALA GRUPO ZUBIKURTZE;Pista fútbol sala;C/ Zubikurtze s/n ;Amorebieta-Etxano;003;Bizkaia;48;34946300002
1000;PISTA POLIDEPORTIVAS SAUTXI;Pista polideportiva#Pista tenis;C/ IPARRAGIRRE S/N ;Eibar;030;Gipuzkoa;20;34943708400
1001;C.E.I.P. VIRGEN DE ARRATE;Pista polideportiva#Pista baloncesto#Gimnasio#Sala psicomotricidad;C/ ANTONIO ITURRIOZ 5 ;Eibar;030;Gipuzkoa;20;34943207235
1002;INSTALACIONES URBANIZACIÓN TRES CARABELAS;Vaso recreativo;LOIOLA ANDER DEUNA KALEA S/N ;Sopela;085;Bizkaia;48;34944065505
1003;PISCINAS MUNICIPALES;Vaso deportivo#Gimnasio#Vaso de aprendizaje#Pista de padel 1#Pista de padel 2;ETXEBARRI ZEHARBIDE KALEA 4 ;Sopela;085;Bizkaia;48;34944065520
1004;POLIDEPORTIVO MUNICIPAL URKO;Sala polivalente#Sala spinning;GATZARRIÑE KALEA 26 ;Sopela;085;Bizkaia;48;34944065505
1005;CLUB HIPICO LAUKINIZ;Pista de saltos#Pista entrenamiento descubierta#Pista entrenamiento semicubierta#Pista padel;MENDIONDO AUZOA S/N ;Laukiz;053;Bizkaia;48;34946151380
1006;PUERTO DEPORTIVO;Zona para embarcaciones de recreo;Minatera s/n ;Hondarribia;036;Gipuzkoa;20;34943641711
1007;ALAMEDA;Probadero#Tenis de mesa;Damarri kalea s/n ;Hondarribia;036;Gipuzkoa;20;34943111213
1008;CLUB NÁUTICO HONDARRIBIA;Zona de vela;Kosta kalea 13 ;Hondarribia;036;Gipuzkoa;20;34943642788
1009;CLUB HÍPICO JAIZUBIA;Pista nagusia / pista principal#Pista polivalente a#Pista polivalente b#Pista circular;Jaitzubia auzoa s/n ;Irun;045;Gipuzkoa;20;34943619015
1010;BOLERAS PARQUE DE GAMARRA;Bolera alavesa#Bolera burgalesa#Pista de calva;C/BARRATXI 39 ;Vitoria-Gasteiz;059;Araba/Álava;01;34945161528
1011;VIEJO CAMPO DE GARMENDIPE;Campo de fútbol;Garmendipe kalea s/n ;Azpeitia;018;Gipuzkoa;20;34943813069
1012;URBANIZACIÓN PRIVADA;Piscina#Piscina pequeña#Pista de tenis;Loiolako Inazio hiribidea 33 ;Azpeitia;018;Gipuzkoa;20;
1013;SECTOR DE LAS CHORRERAS ESCALADA;Zona de escalada;C/ ARQUITECTO JESÚS GUINEA S/N ;Valdegovía/Gaubea;055;Araba/Álava;01;34945353042
1014;CEIP GAUBEA;Pista fútbol sala#Pista minibasket;C/ ARQUITECTO JESÚS GUINEA S/N ;Valdegovía/Gaubea;055;Araba/Álava;01;34945353056
1015;TENIS DE MESA;Tenis de mesa;CALZADA KALEA S/N ;Valdegovía/Gaubea;055;Araba/Álava;01;34945353042
1016;VELÓDROMO MARINO LEJARRETA;Velódromo;Bº Berrizburu  s/n ;Berriz;019;Bizkaia;48;34946818116
1017;FRONTÓN ALTZUBARREN;Frontón#Bolera#Pista polideportiva;ZONA INDUSTRIAL AZITAIN S/N ;Eibar;030;Gipuzkoa;20;34943708400
1018;BOLERA ASOLA-BERRI;Bolera#Frontón;Bº ARRATE 34 ;Eibar;030;Gipuzkoa;20;34943120968
1019;PISCINA NATURAL;Zona de baño;C/ MUELLE S/N ;Mutriku;056;Gipuzkoa;20;34943603244
1020;SALÓN MUNICIPAL OLALDE;Sala polivalente;OLALDE KALEA S/n ;Mungia;069;Bizkaia;48;34946740235
1021;POLIDEPORTIVO MUNICIPAL;Pista polideportiva cubierta#Sala polivalente pb#Sala polivalente ps#Sala polivalente ps - clubes#Sala polivalente p1#Sala musculación p1#Vaso deportivo#Vaso enseñanza#Vaso hidromasaje#Rocódromo;Bº MARKOLE S/N ;Aretxabaleta;013;Gipuzkoa;20;34943711862
1022;ROCÓDROMO;Rocódromo;Bº Ugarana s/n ;Dima;026;Bizkaia;48;34946315725
1023;SOCIEDAD GASTRONÓMICA APOTZAGA;Frontón;C/ APOTZAGA ELIZATEA S/N ;Eskoriatza;034;Gipuzkoa;20;34943715121
1024;PR-A 77. PEÑACERRADA-LAS RASAS;Pequeño recorrido;C/ DE LA RIOJA S/N ;Peñacerrada-Urizaharra;044;Araba/Álava;01;34945367004
1025;POLIDEPORTIVO LA BENEDICTA;Pista polideportiva#Pista polideportiva exterior#Pista squash primera#Pista squash segunda#Pista squash tercera#Pista squash cuarta#Pista squash quinta#Bulder#Rocódromo#Sala boxeo#Sala artes marciales#Sala estiramientos#Frontón polideportivo#Frontón pequeño#Sala musculación#Piscina cubierta#Piscina olímpica#Piscina recreativa#Piscina chapoteo;Muelle de la Benedicta s/n ;Sestao;084;Bizkaia;48;34944729031
1026;BOLERA DE ALBENIZ;Bolera;ALBENIZ S/N ;Asparrena;009;Araba/Álava;01;34945304006
1027;BOLERA DE SOBRÓN;Bolera;PARQUE DEL RIO S/N ;Lantarón;902;Araba/Álava;01;34945332024
1028;FRONTÓN MIRUAITZ;Frontón;C/ FRONTOI JEITSIERA 8 ;Mutriku;056;Gipuzkoa;20;34943107396
1029;BOLERA OBA;Bolera;Bº de Oba s/n ;Dima;026;Bizkaia;48;34946315725
1030;C.Pr. LARRAMENDI;Pista futbol sala#Pista futbol sala pequeño#Pista baloncesto 1#Pista baloncesto 2#Campo de fútbol#Pista atletismo#Pista polideportiva #Pista polideportiva 2#Pista polideportiva 3#Gimnasio#Frontón cubierto#Pista polideportiva con frontón cubierta;MADALEN BIDEA 20 ;Mungia;069;Bizkaia;48;34946749080
1031;CAMPO DE TIRO VENTA FRÍA-;Campo de tiro;ALTO ARLABAN (GI-3310) S/N ;Leintz-Gatzaga;068;Gipuzkoa;20;34943714746
